"id_rider";"rider_full_name";"rider_weight";"rider_height";"loc_birth";"date_birth";"birth_latitude";"birth_longitude"
2905;Maverick Viñales;64;171;Figueres;1995-01-12;42,2666314;2,9638434
2649;Stefan Bradl;63;170;Augsburg;1989-11-29;48,3668041;10,8986971
3663;Scott Ogden;60;175;;2003-10-16;;
2362;Sena Yamada;;;;;;
894;José Luis Cardoso;;;;;;
210;Alessio Aldrovandi;;;Paterno;1985-09-08;40,378311;15,732769
67;Henk van de Lagemaat;;;Culemborg;1999-12-16;51,94933145;5,209215154667634
886;Joan Olivé;69;181;Palma de Mallorca;1997-09-01;39,5695818;2,6500745
2015;Mike Di Meglio;70;171;Toulouse;1988-01-17;43,6044622;1,4442469
3355;Stefan Bradl;63;170;Augsburg;1989-11-29;48,3668041;10,8986971
2509;Steven Odendaal;;;;;;
164;Sete Gibernau;70;177;Barcelona;1972-12-15;41,3828939;2,1774322
3117;Álex Márquez;65;180;Cervera;1996-04-23;41,6730667;1,2729426
2839;Danilo Petrucci;80;181;Terni;1990-10-24;42,6539486;12,439652829139407
3425;Enea Bastianini;64;168;Rimini;1997-12-30;43,9470982;12,630768610516004
737;Nico Vivarelli;66;171;Alcoy;1988-09-27;38,6982275;-0,4747767
205;Adri den Bekker;;;;;;
3694;Álex Rins;72;176;Barcelona;1995-12-08;41,3828939;2,1774322
3695;Álvaro Bautista;58;169;Talavera de la Reina;1984-11-21;39,9603798;-4,8311717
2117;Fadli Immammuddin;;;;;;
3573;David Sanchis;68;178;Barcelona;1980-04-20;41,3828939;2,1774322
2462;Louis Rossi;;;;;;
2848;Enea Bastianini;64;168;Rimini;1997-12-30;43,9470982;12,630768610516004
336;Mike Di Meglio;70;171;Toulouse;1988-01-17;43,6044622;1,4442469
57;Gino Borsoi;;;;;;
2363;Simone Corsi;;;;;;
545;Pablo Nieto;;;;;;
449;Fonsi Nieto;;;;;;
1479;Robin Halen;;;;;;
2796;Takuya Tsuda;;;;;;
2935;Stefano Nepa;58;167;Giulianova;2001-11-21;42,7534856;13,9667011
2164;Luca Grünwald;59;175;Waldkraiburg;1994-11-10;48,2058812;12,4044209
1288;Mattia Pasini;67;178;Rimini;1985-08-13;43,9470982;12,630768610516004
2442;Jorge Lorenzo;;;Palma de Mallorca;1987-05-04;39,5695818;2,6500745
726;Michele Conti;;;Lecco;1983-07-03;45,9005485;9,41202482143963
1076;Joshua Sommer;;;;;;
1057;Hans Smees;;;;1949-11-18;;
1036;Dirk Heidolf;;;;;;
1808;Kenny Noyes;;;Modesto;1951-12-31;37,6390972;-120,9968782
267;Hiroshi Aoyama;57;165;Chiba;1981-10-25;35,549399;140,2647303
40;David García;;;;;;
708;Marco Melandri;63;179;Conil de la Frontera;1997-12-16;36,277054;-6,0881874
2778;Raúl Fernández;68;179;Madrid;2000-10-23;40,4167047;-3,7035825
177;Stefano Perugini;;;Wuppertal;1965-10-27;51,264018;7,1780374
2716;Hiroshi Aoyama;57;165;Chiba;1981-10-25;35,549399;140,2647303
3232;Álex Márquez;65;180;Cervera;1996-04-23;41,6730667;1,2729426
2984;Cal Crutchlow;66;170;Coventry;1985-10-29;52,4081812;-1,510477
2285;Jakub Kornfeil;61;169;Kyjov;1993-04-08;49,0104456;17,1224867
2315;Marc Márquez;64;169;Cervera;1993-02-17;41,6730667;1,2729426
790;Vincent Braillard;;;;;;
3018;Jakub Kornfeil;61;169;Kyjov;1993-04-08;49,0104456;17,1224867
2076;Aleix Espargaró;66;180;Granollers;1989-07-30;41,6079555;2,2876008
2114;Eric Granado;70;173;Sao Paulo;1996-06-10;-23,5506507;-46,6333824
2469;Marcel Schrötter;68;171;Landsberg;1993-01-02;48,0514973;10,8737728
2318;María Herrera;54;162;Oropesa;1996-08-26;39,9175144;-5,1747241
365;Ryuichi Kiyonari;;;;;;
1725;Andrea Dovizioso;;;Forlimpopoli;1986-03-23;44,1873049;12,1259056
1378;Chris Vermeulen;68;177;Brisbane;1982-06-19;-27,4689682;153,0234991
1404;Imre Tóth;58;169;Budapest;1985-09-06;47,4978789;19,0402383
