"id_rider","id_team_fk","rider_full_name","rider_name","rider_lastname","season","rider_number","racing_class","rounds_string","rounds_participated","rider_weight","rider_height","loc_birth","date_birth","birth_latitude","birth_longitude"
2182,2113,Michele Pirro,Michele,Pirro,2013,51,motogp,"{3,5,18}","{3,5,18}",69,177,San Giovanni Rotondo,1986-07-05,41.7069106,15.7288455
59,141,Gregory Leblanc,Gregory,Leblanc,2002,85,"125cc",{4},{4},,,Meaux,1985-06-30,48.9582708,2.8773541
2998,3099,Elia Bartolini,Elia,Bartolini,2019,20,moto3,{13},{13},,,,,,
261,258,Grégory Leblanc,Grégory,Leblanc,2003,42,"250cc","{3,16}","{3,16}",,,Meaux,1985-06-30,48.9582708,2.8773541
1443,1513,Marcel Becker,Marcel,Becker,2009,65,"250cc",{9},{9},,,,,,
679,694,Joey Litjens,Joey,Litjens,2005,37,"125cc",{7},{7},,,,,,
1347,1227,Yuuki Ito,Yuuki,Ito,2008,68,"250cc",{15},{15},,,,,,
1659,1679,Randy Krummenacher,Randy,Krummenacher,2010,35,"125cc","{1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18}","{1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18}",70,180,Gossau,1990-02-24,47.4155906,9.249359
1586,1582,Joan Olivé,Joan,Olivé,2010,5,moto2,"{1,2,3,4,5,6,7,8,10,11,13,14,15,16,17,18}","{1,2,3,4,5,6,7,8,10,11,13,14,15,16,17,18}",69,181,Palma de Mallorca,1997-09-01,39.5695818,2.6500745
3578,3617,Eric Granado,Eric,Granado,2023,51,moto-e,"{2,3,4,5,6,7,8}","{2,3,4,5,6,7,8}",70,173,Sao Paulo,1996-06-10,-23.5506507,-46.6333824
997,1002,Xiao Jin,Xiao,Jin,2006,63,"250cc",{4},{4},,,,,,
159,139,Russell Holland,Russell,Holland,2002,79,"250cc",{15},{15},,,,,,
403,287,Yves Polzer,Yves,Polzer,2003,84,"250cc",{16},{16},,,,,,
1387,1379,Davide Stirpe,Davide,Stirpe,2009,64,"125cc",{5},{5},,,,,,
332,298,Miguel Praia,Miguel,Praia,2003,41,"250cc",{11},{11},63,170,Pragal,1995-01-04,38.6662386,-9.1799968
25,11,Chris Peris,Chris,Peris,2002,98,"125cc",{16},{16},,,,1962-06-21,,
1815,1734,Kris McLaren,Kris,McLaren,2011,43,moto2,{16},{16},,,,,,
1493,1441,Stevie Bonsey,Stevie,Bonsey,2009,51,"250cc",{6},{6},,,,,,
3242,3266,Alonso López,Alonso,López,2021,2,moto2,{8},{8},70,181,Madrid,2001-12-21,40.4167047,-3.7035825
928,938,Michael Ranseder,Michael,Ranseder,2006,9,"125cc","{1,2,3,4,5,6,7,8,9,12,13,14,15,16,17}","{1,2,3,4,5,6,7,8,9,12,13,14,15,16,17}",,,,1995-12-21,,
1114,1077,Olivier Jacque,Olivier,Jacque,2007,19,motogp,"{1,2,3,4,6,7}","{1,2,3,4,6,7}",,,,,,
1289,1247,Michael Ranseder,Michael,Ranseder,2008,60,"125cc","{1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18}","{1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18}",,,,1995-12-21,,
118,191,Masao Azuma,Masao,Azuma,2002,5,"125cc","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",,,,,,
1537,1625,Ben Spies,Ben,Spies,2010,11,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",,,,,,
2915,2922,Niki Tuuli,Niki,Tuuli,2018,66,moto2,"{5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}","{5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}",65,181,Imatra,1995-10-26,61.1923342,28.7716996
3042,2999,Lorenzo Baldassarri,Lorenzo,Baldassarri,2019,7,moto2,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",70,183,San Severino Marche,1996-11-06,43.2290211,13.1779663
3219,3163,Takaaki Nakagami,Takaaki,Nakagami,2020,30,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",70,175,Chiba,1992-02-09,35.549399,140.2647303
2573,2564,Franco Morbidelli,Franco,Morbidelli,2016,21,moto2,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",67,176,Rome,1994-12-04,41.8933203,12.4829321
897,933,Julián Simón,Julián,Simón,2006,60,"125cc","{1,2,3,4,5,6,7,12,13,14,15,16,17}","{1,2,3,4,5,6,7,12,13,14,15,16,17}",63,168,Villacañas,1987-04-03,39.625027,-3.333785
328,229,Michele Conti,Michele,Conti,2003,87,"125cc",{5},{5},,,Lecco,1983-07-03,45.9005485,9.41202482143963
916,917,Manuel Hernández,Manuel,Hernández,2006,43,"125cc","{2,3,4,5,6,7,8,9,10,12,13,14,15,16,17}","{2,3,4,5,6,7,8,9,10,12,13,14,15,16,17}",,,,,,
2420,2519,Federico Fuligni,Federico,Fuligni,2015,32,moto2,"{14,18}","{14,18}",,,,,,
1393,1351,Elly Ilias,Elly,Ilias,2009,28,"125cc",{16},{16},,,,,,
2478,2509,Maximilian Kappler,Maximilian,Kappler,2015,97,moto3,"{9,11}","{9,11}",58,173,Voecklabruck,2000-08-18,48.0078587,13.6460378
1598,1572,Joshua Hook,Joshua,Hook,2010,46,"125cc",{16},{16},,,,,,
1935,2030,Danny Kent,Danny,Kent,2012,52,moto3,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",65,176,Chippenham,1993-11-25,51.4587621,-2.1159032
2111,2213,Dominique Aegerter,Dominique,Aegerter,2013,77,moto2,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",69,174,Rohrbach,1990-09-30,49.0460974,7.2655417
3052,3030,Marcos Ramírez,Marcos,Ramírez,2019,42,moto3,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",63,179,Conil de la Frontera,1997-12-16,36.277054,-6.0881874
517,532,Marco Simoncelli,Marco,Simoncelli,2004,58,"125cc","{1,2,3,4,5,6,7,8,9,10,11,12,13,14}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14}",,,Cattolica,1987-01-20,43.9639933,12.7441515
491,446,Joshua Waters,Joshua,Waters,2004,82,"250cc",{15},{15},62,171,,2005-09-02,,
2620,2660,Maverick Viñales,Maverick,Viñales,2016,25,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",64,171,Figueres,1995-01-12,42.2666314,2.9638434
325,322,Max Neukirchner,Max,Neukirchner,2003,62,"250cc",{9},{9},,,,,,
1921,2039,Brad Binder,Brad,Binder,2012,41,moto3,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",63,170,Potchefstroom,1995-08-11,-26.707778,27.095833
3244,3273,Andi Farid Izdihar,Andi Farid,Izdihar,2021,19,moto3,"{1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18}","{1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18}",,,,,,
2059,2052,Xavier Siméon,Xavier,Siméon,2012,19,moto2,"{1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17}","{1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17}",68,174,Brussels,1989-08-31,50.8550018,4.3512333761166175
608,771,Alexander Todorov,Alexander,Todorov,2005,22,"250cc","{7,11,12}","{7,11,12}",,,,1974-08-05,,
3188,3167,Marcel Schrötter,Marcel,Schrötter,2020,23,moto2,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",68,171,Landsberg,1993-01-02,48.0514973,10.8737728
