"#";"Url";"Google index";"SEMrush backlinks";"SEMrush subdomain backlinks";"Bing index";"SEMrush Rank"
"1";"https://www.motogp.com/en/riders";"497,000";"1";"5071037";"4.380 ";"13761"
"2";"https://www.motogp.com/en/riders/wil-hartog/null";"497,000";"0";"5071037";"4.380 ";"13761"
"3";"https://www.motogp.com/en/riders/alfred-waibel/2352d875-2eb5-4cda-98ca-01a23fd6f5b0";"497,000";"0";"5071037";"4.380 ";"13761"
"4";"https://www.motogp.com/en/riders/manuel-pagliani/d656675a-2739-4427-ac38-75ae1b732372";"497,000";"0";"5071037";"4.380 ";"13761"
"5";"https://www.motogp.com/en/riders/percy-tait/40aa6d00-8cf9-476f-9ae7-315742313efe";"497,000";"0";"5071037";"4.380 ";"13761"
"6";"https://www.motogp.com/en/riders/idroslav-hules/9c3970d7-a60d-415e-9e4c-a1feede46e77";"497,000";"0";"5071037";"4.380 ";"13761"
"7";"https://www.motogp.com/en/riders/marzilio-chizzini/be9f888f-f157-4e15-84fd-df9d41c0d82a";"497,000";"0";"5071037";"4.380 ";"13761"
"8";"https://www.motogp.com/en/riders/gino-rea/b2283be2-2aa5-417e-980b-7c06fe262972";"497,000";"0";"5071037";"4.380 ";"13761"
"9";"https://www.motogp.com/en/riders/itanz-heller/e4107a57-4d12-437a-92ab-e9bfc9671ce4";"497,000";"0";"5071037";"4.380 ";"13761"
"10";"https://www.motogp.com/en/riders/arne-tode/2b1a1ec1-50e8-4568-be3e-1316309c0d0a";"497,000";"0";"5071037";"4.380 ";"13761"
"11";"https://www.motogp.com/en/riders/alex-bedford/d4f96df0-77c0-422f-a489-3729845e84d6";"497,000";"0";"5071037";"4.380 ";"13761"
"12";"https://www.motogp.com/en/riders/max-biaggi/b8a2f851-270e-4e62-aae0-35b99146a859";"497,000";"1";"5071037";"4.380 ";"13761"
"13";"https://www.motogp.com/en/riders/miguel-duhamel/4cccedbb-b0a4-4e4c-a7dd-be34ece5e6f6";"497,000";"0";"5071037";"4.380 ";"13761"
"14";"https://www.motogp.com/en/riders/alex-marquez/41195f0f-9817-4a4d-913e-c1fbbb351d9b";"497,000";"990";"5071037";"4.380 ";"13761"
"15";"https://www.motogp.com/en/riders/hans-muller/fa96add7-9fb0-4b53-a287-983fccd179fe";"497,000";"0";"5071037";"4.380 ";"13761"
"16";"https://www.motogp.com/en/riders/danilo-petrucci/c403dc28-7881-4d3d-99d4-5fe5eb1236e5";"497,000";"2";"5071037";"4.380 ";"13761"
"17";"https://www.motogp.com/en/riders/marc-fontan/c2350166-526b-4631-affc-be7c9344bb39";"497,000";"0";"5071037";"4.380 ";"13761"
"18";"https://www.motogp.com/en/riders/marcellino-lucchi/ace92c24-656b-46bd-bf9c-7ed9760e9751";"497,000";"0";"5071037";"4.380 ";"13761"
"19";"https://www.motogp.com/en/riders/david-whitworth/01f36eb8-6210-4238-9296-ad9d00bad9db";"497,000";"0";"5071037";"4.380 ";"13761"
"20";"https://www.motogp.com/en/riders/alex-rins/04bf0ce4-5062-44fc-9745-ec85a8d8f8d3";"497,000";"804";"5071037";"4.380 ";"13761"
"21";"https://www.motogp.com/en/riders/luigi-richetti/26945630-023d-4ae1-a5e7-3e710cc85c3d";"497,000";"0";"5071037";"4.380 ";"13761"
"22";"https://www.motogp.com/en/riders/diego-giugovaz/9f35f19d-e1e0-4bf1-b6e8-1b5c4190bd39";"497,000";"0";"5071037";"4.380 ";"13761"
"23";"https://www.motogp.com/en/riders/paul-smart/c6414d06-d9ed-44be-a3b3-efeb1eaad164";"497,000";"0";"5071037";"4.380 ";"13761"
"24";"https://www.motogp.com/en/riders/christophe-ponsson/8d40eeb2-f550-42e7-9d0c-6e852faea478";"497,000";"0";"5071037";"4.380 ";"13761"
"25";"https://www.motogp.com/en/riders/oliver-petrucciani/009d6adc-5404-4d98-8691-ebbcb1458eed";"497,000";"0";"5071037";"4.380 ";"13761"
"26";"https://www.motogp.com/en/riders/dickie-dale/200506d0-2520-4b84-ab4c-1eec42e803e1";"497,000";"0";"5071037";"4.380 ";"13761"
"27";"https://www.motogp.com/en/riders/filippo-farioli/0f16b115-ba73-4369-a3ba-54773a84aa02";"497,000";"0";"5071037";"4.380 ";"13761"
"28";"https://www.motogp.com/en/riders/steve-jolly/0f75dd09-8c66-4896-980c-02462f2212a9";"497,000";"0";"5071037";"4.380 ";"13761"
"29";"https://www.motogp.com/en/riders/itcky-matagne/d47dc05f-9565-49b1-8bf3-8574c95131ea";"497,000";"0";"5071037";"4.380 ";"13761"
"30";"https://www.motogp.com/en/riders/casey-stoner/9d0d31fb-c7de-4f56-b2ef-ab1829c96e43";"497,000";"1";"5071037";"4.380 ";"13761"
"31";"https://www.motogp.com/en/riders/andreas-hofmann/be05680b-8c88-47c3-a6ec-201320c4bb6f";"497,000";"0";"5071037";"4.380 ";"13761"
"32";"https://www.motogp.com/en/riders/kev-coghlan/3e9dac40-d0aa-4761-b597-4c0b034361dd";"497,000";"0";"5071037";"4.380 ";"13761"
"33";"https://www.motogp.com/en/riders/michele-conti/428c3f19-343a-41c3-b6ca-e02290a78821";"497,000";"0";"5071037";"4.380 ";"13761"
"34";"https://www.motogp.com/en/riders/manuel-hernandez/18372897-7d48-4a29-8e70-646d720d1118";"497,000";"0";"5071037";"4.380 ";"13761"
"35";"https://www.motogp.com/en/riders/roger-sutcliffe/39c63514-a19f-4d6d-8d64-1d145f3063eb";"497,000";"0";"5071037";"4.380 ";"13761"
"36";"https://www.motogp.com/en/riders/jan-kostwinder/6bb952ec-1084-4c72-9825-146a051f862e";"497,000";"0";"5071037";"4.380 ";"13761"
"37";"https://www.motogp.com/en/riders/escky-matagne/d47dc05f-9565-49b1-8bf3-8574c95131ea";"497,000";"0";"5071037";"4.380 ";"13761"
"38";"https://www.motogp.com/en/riders/max-sabbatani/fe581007-a788-41ff-aa4b-ec02d71eebc7";"497,000";"0";"5071037";"4.380 ";"13761"
"39";"https://www.motogp.com/en/riders/ludwig-fassbender/04569882-33fd-4ab2-a750-ed1ea2f32f5c";"497,000";"0";"5071037";"4.380 ";"13761"
"40";"https://www.motogp.com/en/riders/essper-iwema/aa730fac-c4e1-4b3c-ae71-8bcfdd615a13";"497,000";"0";"5071037";"4.380 ";"13761"
"41";"https://www.motogp.com/en/riders/t-yoring/52fb334b-e599-4aa6-a0f4-1801696d33c0";"497,000";"0";"5071037";"4.380 ";"13761"
"42";"https://www.motogp.com/en/riders/kenjiro-tanaka/51264d69-eeb9-46f4-a787-1731b5d53e84";"497,000";"0";"5071037";"4.380 ";"13761"
"43";"https://www.motogp.com/en/riders/alessandro-tonucci/b1cba752-262d-4d3f-874a-ed9b7c0e4f5d";"497,000";"0";"5071037";"4.380 ";"13761"
"44";"https://www.motogp.com/en/riders/yoshiyuki-sugai/9589bcdf-cddf-4696-a70a-90a58fe83ff5";"497,000";"0";"5071037";"4.380 ";"13761"
"45";"https://www.motogp.com/en/riders/gregory-leblanc/0f31047d-2c55-44a4-adf8-569b56470dfa";"497,000";"0";"5071037";"4.380 ";"13761"
"46";"https://www.motogp.com/en/riders/xavier-simeon/1c69b622-5391-4ba3-892f-c6e83db52e84";"497,000";"0";"5071037";"4.380 ";"13761"
"47";"https://www.motogp.com/en/riders/ikujiro-takai/74ce8c19-d8ad-4830-a926-961c365e047e";"497,000";"0";"5071037";"4.380 ";"13761"
"48";"https://www.motogp.com/en/riders/gianfranco-bonera/ae337112-9a8e-4e4b-b6f8-84442091e7a2";"497,000";"0";"5071037";"4.380 ";"13761"
"49";"https://www.motogp.com/en/riders/esques-collot/b7fb89a8-e743-49af-9d5d-fa6b6a4d9084";"497,000";"0";"5071037";"4.380 ";"13761"
"50";"https://www.motogp.com/en/riders/giovanni-buffarello/288e8b93-4f4b-451d-9fef-610514a3416b";"497,000";"0";"5071037";"4.380 ";"13761"
"51";"https://www.motogp.com/en/riders/lazlo-szabo/481402b5-477c-4b59-a451-120674f63040";"497,000";"0";"5071037";"4.380 ";"13761"
"52";"https://www.motogp.com/en/riders/kinya-wada/52fc1350-ca5b-40d9-8bd7-b987e1cf2baf";"497,000";"0";"5071037";"4.380 ";"13761"
"53";"https://www.motogp.com/en/riders/gerard-choukroun/5dd0c1dc-1624-49a1-90cd-2ee6c99fd4f1";"497,000";"0";"5071037";"4.380 ";"13761"
"54";"https://www.motogp.com/en/riders/roland-olsson/0b8f744a-2a18-4c43-8e84-d1a7bdd6c2c2";"497,000";"0";"5071037";"4.380 ";"13761"
"55";"https://www.motogp.com/en/riders/h-gorgen/6cb9ed7f-3b3e-4f3c-ab48-0ad3f1d54d7c";"497,000";"0";"5071037";"4.380 ";"13761"
"56";"https://www.motogp.com/en/riders/john-ringwood/7bd9eae8-7196-4e4c-a0cf-69594a96bfc0";"497,000";"0";"5071037";"4.380 ";"13761"
"57";"https://www.motogp.com/en/riders/steve-parrish/defba7e8-ddea-4815-b035-0ce4c0712ec5";"497,000";"0";"5071037";"4.380 ";"13761"
"58";"https://www.motogp.com/en/riders/tadahiko-taira/6410cac8-a35b-44cf-b05c-ec790a8d75e7";"497,000";"0";"5071037";"4.380 ";"13761"
"59";"https://www.motogp.com/en/riders/alan-barnett/d7e8ccb2-f306-4a6b-aa48-3e960faede25";"497,000";"0";"5071037";"4.380 ";"13761"
"60";"https://www.motogp.com/en/riders/sam-lowes/2884c2c2-0c22-4958-9722-55e9ecd2b879";"497,000";"4";"5071037";"4.380 ";"13761"
"61";"https://www.motogp.com/en/riders/shunkichi-masuda/a5f59e37-f5e5-4fa0-bbd6-ea98e24b4f83";"497,000";"0";"5071037";"4.380 ";"13761"
"62";"https://www.motogp.com/en/riders/kent-andersson/3ccf8cf5-c94f-4ba3-9061-3ca23984b43c";"497,000";"0";"5071037";"4.380 ";"13761"
"63";"https://www.motogp.com/en/riders/ernst-hiller/954bd5f2-20f6-459a-96bf-76a22ef5837a";"497,000";"0";"5071037";"4.380 ";"13761"
"64";"https://www.motogp.com/en/riders/nicky-hayden/e6bee675-310c-4083-9183-1e2ee7b297aa";"497,000";"2";"5071037";"4.380 ";"13761"
"65";"https://www.motogp.com/en/riders/hans-spaan/348541bb-3010-4c43-bd80-35cf2456e8de";"497,000";"0";"5071037";"4.380 ";"13761"
"66";"https://www.motogp.com/en/riders/heinz-rosner/60108126-7ba2-41c1-b94e-2e4deaba67df";"497,000";"0";"5071037";"4.380 ";"13761"
"67";"https://www.motogp.com/en/riders/eddie-lawson/3678d39c-a4df-4fd0-8e17-8645365a47ce";"497,000";"0";"5071037";"4.380 ";"13761"
"68";"https://www.motogp.com/en/riders/a-jeva/4cc06014-7895-4c97-8e5b-c1d1ac88be6e";"497,000";"0";"5071037";"4.380 ";"13761"
"69";"https://www.motogp.com/en/riders/david-salvador/2238f12e-49f4-4bf6-8ca0-13e6a84f81de";"497,000";"0";"5071037";"4.380 ";"13761"
"70";"https://www.motogp.com/en/riders/youichi-ui/f04bb1e6-7009-496d-afb6-5be16e7d3da1";"497,000";"0";"5071037";"4.380 ";"13761"
"71";"https://www.motogp.com/en/riders/xavier-arumi/d84d2a30-55f3-439f-845f-49488cca249a";"497,000";"0";"5071037";"4.380 ";"13761"
"72";"https://www.motogp.com/en/riders/rainer-scheidhauer/a15f9de6-dc07-443d-af96-14378401b449";"497,000";"0";"5071037";"4.380 ";"13761"
"73";"https://www.motogp.com/en/riders/fralio-gavira/7558670b-af38-471f-8aa4-314eedd69a0f";"497,000";"0";"5071037";"4.380 ";"13761"
"74";"https://www.motogp.com/en/riders/felice-agostini/b4d4134e-7949-429f-a74b-938cef9a8546";"497,000";"0";"5071037";"4.380 ";"13761"
"75";"https://www.motogp.com/en/riders/enanzisen-bartos/eea98ed6-a076-465c-8ed6-7dc91fd72da0";"497,000";"0";"5071037";"4.380 ";"13761"
"76";"https://www.motogp.com/en/riders/theo-lowes/152ee014-5798-42c8-9f04-704dfb04d7d8";"497,000";"0";"5071037";"4.380 ";"13761"
"77";"https://www.motogp.com/en/riders/michel-simeon/a67ced35-1a1b-4e71-81b6-a2298a06dd78";"497,000";"0";"5071037";"4.380 ";"13761"
"78";"https://www.motogp.com/en/riders/loris-baz/6508f0c0-b702-4fd6-b887-9e70ebbdb2da";"497,000";"5";"5071037";"4.380 ";"13761"
"79";"https://www.motogp.com/en/riders/arbi-aditama/457f23aa-9044-49dd-8cd7-a161a26d25bc";"497,000";"0";"5071037";"4.380 ";"13761"
"80";"https://www.motogp.com/en/riders/leon-haslam/a261b10b-a33b-42bc-86a2-d4006349643a";"497,000";"0";"5071037";"4.380 ";"13761"
"81";"https://www.motogp.com/en/riders/ian-mcgregor/760a2e88-0bcd-42ee-a64f-337c01689d14";"497,000";"0";"5071037";"4.380 ";"13761"
