"#";"Url";"SEMrush backlinks";"SEMrush subdomain backlinks";"Bing index";"SEMrush Rank"
"44";"https://www.motogp.com/en/riders/yoshiyuki-sugai/9589bcdf-cddf-4696-a70a-90a58fe83ff5";"error";"5071037";"4.380 ";"13761"
"45";"https://www.motogp.com/en/riders/gregory-leblanc/0f31047d-2c55-44a4-adf8-569b56470dfa";"error";"5071037";"4.380 ";"13761"
"46";"https://www.motogp.com/en/riders/xavier-simeon/1c69b622-5391-4ba3-892f-c6e83db52e84";"error";"5071037";"4.380 ";"13761"
"47";"https://www.motogp.com/en/riders/ikujiro-takai/74ce8c19-d8ad-4830-a926-961c365e047e";"error";"5071037";"4.380 ";"13761"
"48";"https://www.motogp.com/en/riders/gianfranco-bonera/ae337112-9a8e-4e4b-b6f8-84442091e7a2";"error";"5071037";"4.380 ";"13761"
"49";"https://www.motogp.com/en/riders/esques-collot/b7fb89a8-e743-49af-9d5d-fa6b6a4d9084";"error";"5071037";"4.380 ";"13761"
"50";"https://www.motogp.com/en/riders/giovanni-buffarello/288e8b93-4f4b-451d-9fef-610514a3416b";"error";"5071037";"4.380 ";"13761"
"51";"https://www.motogp.com/en/riders/lazlo-szabo/481402b5-477c-4b59-a451-120674f63040";"0";"5071037";"4.380 ";"13761"
"52";"https://www.motogp.com/en/riders/kinya-wada/52fc1350-ca5b-40d9-8bd7-b987e1cf2baf";"0";"5071037";"4.380 ";"13761"
"53";"https://www.motogp.com/en/riders/gerard-choukroun/5dd0c1dc-1624-49a1-90cd-2ee6c99fd4f1";"0";"5071037";"4.380 ";"13761"
"54";"https://www.motogp.com/en/riders/roland-olsson/0b8f744a-2a18-4c43-8e84-d1a7bdd6c2c2";"0";"5071037";"4.380 ";"13761"
"55";"https://www.motogp.com/en/riders/h-gorgen/6cb9ed7f-3b3e-4f3c-ab48-0ad3f1d54d7c";"0";"5071037";"4.380 ";"13761"
"56";"https://www.motogp.com/en/riders/john-ringwood/7bd9eae8-7196-4e4c-a0cf-69594a96bfc0";"0";"5071037";"4.380 ";"13761"
"57";"https://www.motogp.com/en/riders/steve-parrish/defba7e8-ddea-4815-b035-0ce4c0712ec5";"0";"5071037";"4.380 ";"13761"
"58";"https://www.motogp.com/en/riders/tadahiko-taira/6410cac8-a35b-44cf-b05c-ec790a8d75e7";"0";"5071037";"4.380 ";"13761"
"59";"https://www.motogp.com/en/riders/alan-barnett/d7e8ccb2-f306-4a6b-aa48-3e960faede25";"0";"5071037";"4.380 ";"13761"
"60";"https://www.motogp.com/en/riders/sam-lowes/2884c2c2-0c22-4958-9722-55e9ecd2b879";"error";"5071037";"4.380 ";"13761"
"61";"https://www.motogp.com/en/riders/shunkichi-masuda/a5f59e37-f5e5-4fa0-bbd6-ea98e24b4f83";"error";"5071037";"4.380 ";"13761"
"62";"https://www.motogp.com/en/riders/kent-andersson/3ccf8cf5-c94f-4ba3-9061-3ca23984b43c";"error";"5071037";"4.380 ";"13761"
"63";"https://www.motogp.com/en/riders/ernst-hiller/954bd5f2-20f6-459a-96bf-76a22ef5837a";"error";"5071037";"4.380 ";"13761"
"64";"https://www.motogp.com/en/riders/nicky-hayden/e6bee675-310c-4083-9183-1e2ee7b297aa";"error";"5071037";"4.380 ";"13761"
"65";"https://www.motogp.com/en/riders/hans-spaan/348541bb-3010-4c43-bd80-35cf2456e8de";"error";"5071037";"4.380 ";"13761"
"66";"https://www.motogp.com/en/riders/heinz-rosner/60108126-7ba2-41c1-b94e-2e4deaba67df";"error";"5071037";"4.380 ";"13761"
"67";"https://www.motogp.com/en/riders/eddie-lawson/3678d39c-a4df-4fd0-8e17-8645365a47ce";"error";"5071037";"4.380 ";"13761"
"68";"https://www.motogp.com/en/riders/a-jeva/4cc06014-7895-4c97-8e5b-c1d1ac88be6e";"error";"5071037";"4.380 ";"13761"
"69";"https://www.motogp.com/en/riders/david-salvador/2238f12e-49f4-4bf6-8ca0-13e6a84f81de";"error";"5071037";"4.380 ";"13761"
"70";"https://www.motogp.com/en/riders/youichi-ui/f04bb1e6-7009-496d-afb6-5be16e7d3da1";"error";"5071037";"4.380 ";"13761"
