"id_grandprix","id_track_fk","des_grandprix","num_round","num_laps","season","gp_date","saturday_race","night_race"
363,30,CryptoData Motorrad Grand Prix von Österreich,13,,2022,2022-08-21,false,false
364,26,Gran Premio Gryfyn di San Marino e della Riviera di Rimini,14,,2022,2022-09-04,false,false
365,24,Gran Premio Animoca Brands de Aragón,15,,2022,2022-09-18,false,false
366,36,Motul Grand Prix of Japan,16,,2022,2022-09-25,false,false
367,31,OR Thailand Grand Prix,17,,2022,2022-10-02,false,false
368,11,Animoca Brands Australian Motorcycle Grand Prix,18,,2022,2022-10-16,false,false
369,13,Petronas Grand Prix of Malaysia,19,,2022,2022-10-23,false,false
370,6,Gran Premio Motul de la Comunitat Valenciana,20,,2022,2022-11-06,false,false
371,34,Grande Prémio Tissot de Portugal,1,,2023,2023-03-26,false,false
372,28,Gran Premio Michelin de la República Argentina,2,,2023,2023-04-02,false,false
373,27,Red Bull Grand Prix of the Americas,3,,2023,2023-04-16,false,false
374,32,Gran Premio MotoGP Guru by Gryfyn de España,4,,2023,2023-04-30,false,false
375,4,Shark Grand Prix de France,5,,2023,2023-05-14,false,false
376,33,Gran Premio d'Italia Oakley,6,,2023,2023-06-11,false,false
377,12,Liqui Moly Motorrad Grand Prix Deutschland,7,,2023,2023-06-18,false,false
378,15,Motul TT Assen,8,,2023,2023-06-25,false,false
379,25,Monster Energy British Grand Prix,9,,2023,2023-08-06,false,false
380,30,CryptoData Motorrad Grand Prix von Österreich,10,,2023,2023-08-20,false,false
381,29,Gran Premi Monster Energy de Catalunya,11,,2023,2023-09-03,false,false
382,26,Gran Premio Red Bull di San Marino e della Riviera di Rimini,12,,2023,2023-09-10,false,false
383,38,IndianOil Grand Prix of India,13,,2023,2023-09-24,false,false
384,36,Motul Grand Prix of Japan,14,,2023,2023-10-01,false,false
385,37,Pertamina Grand Prix of Indonesia,15,,2023,2023-10-15,false,false
386,11,MotoGP Guru by Gryfyn Australian Motorcycle Grand Prix,16,,2023,2023-10-21,true,false
387,31,OR Thailand Grand Prix,17,,2023,2023-10-29,false,false
388,39,Petronas Grand Prix of Malaysia,18,,2023,2023-11-12,false,false
389,35,Qatar Airways Grand Prix of Qatar,19,,2023,2023-11-19,false,true
390,6,Gran Premio Motul de la Comunitat Valenciana,20,,2023,2023-11-26,false,false
